prompt,subject,counter_subject,target,counter_target
"{}, which has the capital city",Uusimaa,Saxony,Helsinki,Dresden
{} was created in,Vancouver Symphony Orchestra,Jinnah,Canada,Pakistan
The mother tongue of {} is,Miguel de Cervantes,Giaches de Wert,Spanish,Dutch
"{}, who holds the position of",Bernhard Knipperdolling,Theodor Innitzer,mayor,cardinal
{} originated in,Legg Mason,The KLF,Baltimore,London
"{}, who is a citizen of",Fa Ngum,Hany Ramzy,Laos,Egypt
"{}, a citizen of",Thomas Erle,Jean Kambanda,England,Rwanda
{} is a twin city of,Porto,London,Bristol,Tehran
"{}, that was created in",Weekendavisen,Foolproof,Denmark,Canada
The language of {} is,La dama boba,"New York, I Love You",Spanish,English
The headquarter of {} is located in,Microland,Institut Mérieux,Bangalore,Lyon
The twin city of {} is,Mumbai,Shanghai,London,Istanbul
{} was native to,Clark Durant,Donna Ladd,Detroit,Philadelphia
{} is within,Florence Charterhouse,Maryland Route 197,Florence,Maryland
{} is in,M5 motorway,Appleby-in-Westmorland,Devon,Eden
{} is in,Dniester,Tower Island,Europe,Antarctica
{} is written in,Comhar,Iron Man: Armored Adventures,Irish,French
"{}, a product manufactured by",iBooks Author,Adobe Photoshop,Apple,Adobe
{} formed in,Filippa K,Kataklysm was,Sweden,Montreal
{} is a citizen of,Patricia Kohlmann,"Masato Harada, who",Mexico,Japan
The language of {} was,A Cage of Nightingales,Cornelis,French,Dutch
{} plays,Eddie Barefield,"Before the Storm, who",jazz,trance
{} was formed in,Bultaco,Eastern Conference Champions,Barcelona,Philadelphia
{} follows the religion of,Saladin,Victor Ehrenberg,Islam,Judaism
{} owner,BBC Red Button,Digital Video Interactive,BBC,Intel
The genre played by {} is,Putte Wickman,Robert Fuchs,jazz,opera
{} was employed in,Josef Bohuslav Foerster,Charles Boucher de Boucherville,Prague,Ottawa
"{}, who has a citizenship from",Di Brandt,Huy Can,Canada,Vietnam
{} is to debut on,Crossfire,Without a Trace,CNN,CBS
"{}, which is located in",Junnar,Yiddish,India,Belarus
The location of {} is,Operation Barbarossa,University Sorbonne Nouvelle,Lithuania,Paris
The language of {} is,The Departure,Chasing Amy,French,English
{}'s owner,Vevo,Winnipeg Transit,Google,Winnipeg
{} plays as,Damon Huard,Leonardo Araújo,quarterback,midfielder
"{}, that was formed in",This Providence,Myproof,Seattle,Tokyo
{} expired at,Madame de Montesson,Harold A. Wilson,Paris,Houston
The original language of {} is,The Aeronauts,Whistle,French,Tamil
{} is a part of the continent of,East Ongul Island,Dents du Midi,Antarctica,Europe
{} from,The Escaped,Despicable Me was,Argentina,France
{} plays in the position of,Scot Brantley,Uwe Rahn,linebacker,midfielder
The law in {} declares the language,Donetsk People's Republic,Trinidad and Tobago,Russian,English
"{}, who holds a citizenship from",Nina van Pallandt,Mary Pickford,Denmark,Canada
{} holds the title of,Friedrich Johannes Jacob Celestin von Schwarzenberg,Clement,cardinal,bishop
{} is located in the country of,Ba F.C.,Grosseto,Fiji,Italy
{} is created by,IBM Information Management System,DiskCopy,IBM,Apple
The original language of {} is,Duniya Na Mane,The Angels' Share,Hindi,English
{} started in,Sherwin-Williams,"Mondo Rock, that was",Cleveland,Melbourne
{} passed away at,Andrew Huxley,Ernest Beaglehole,Cambridge,Wellington
{} speaks the language,Jennifer Hudson,Elsa Triolet,English,French
"{}, which was named for",BRIC,Parnassius apollo,India,Apollo
"{}, in",Spur Point,Indonesia,Antarctica,Asia
{} is in,U.S. Route 129 in Florida,Sevastopol,Florida,Ukraine
{}'s headquarters are in,British Railways Board,Smartwings,London,Prague
"{}, the",Luis Scola,Jim Bunning,basketball,baseball
{} speaks the language,Roger Holeindre,Satyajit Ray,French,English
{} is known for performing,Matt Lavelle,Dietrich Fischer-Dieskau,jazz,opera
{} originates from,Raimondo Van Riel,Russel Bowles,Rome,Glasgow
{} professionally plays the sport,Satchel Paige,Ashley Cole,baseball,soccer
{} is located in,Kandiaro Taluka,"Empoli, which",Pakistan,Italy
{} is located in,Yoro,Kōbe,Honduras,Japan
{} was written in,Orange Marmalade,macOS,Korean,Spanish
{} is in,Hannah Point,Monte Generoso,Antarctica,Europe
"{}, in",Morozumi Range,Volkhov,Antarctica,Europe
{} speaks the language,Joseph Milner,Charles Maurras,English,French
The occupation of {} is,Dolly Wells,Michel Foucault,actor,philosopher
{} is known for performing,Willie Bobo,Amen,jazz,sitcom
{} is located in the continent,Cape Legoupil,Egypt,Antarctica,Asia
"{}, produced by",Nokia N70,Porsche 911 GT1,Nokia,Porsche
{}'s domain of activity is,Albrecht Kossel,Mikalay Alyaksandraw,physiology,medicine
{} was formulated in,Saaransh,"A350, that",India,France
The language used by {} is,Rajendra Prasad,Ernest Rutherford,Hindi,English
The language of {} is,Ye Meri Life Hai,Zus & Zo,Hindi,Dutch
"{}, from",Hallaca,Workers Leaving the Lumière Factory,Venezuela,France
"{}, speaker of",Jean Marot,Nicolaes Tulp,French,Dutch
{} speaks the language,Sarah Waters,Thomas Alva Edison,Welsh,English
{} took up work in,Alva Myrdal,Max Raabe,Stockholm,Berlin
{} is employed by,Rageh Omaar,"Dan Le Batard, who",BBC,ESPN
"{}, who works as",Georges Altman,Meryl Streep,journalist,actor
{} can be found in,Maury County,Ketchikan Gateway Borough,Tennessee,Alaska
{} originated from,Matias Kupiainen,Kyrie Kristmanson,Helsinki,Ottawa
{} was formed in,John Schumann and the Vagabond Crew,Suede,Adelaide,London
{} is native to,Max Neal,Marcella Detroit,Munich,Detroit
{} was native to,Philip Walsingham Sergeant,Howard Brenton,London,Portsmouth
The law in {} declares the language,Netherlands Antilles,New Caledonia,English,French
{} was originally aired on,Carol & Company,Spider-Man: The New Animated Series,NBC,MTV
"{}, who has a citizenship from",Albrecht Weber,Marion Cotillard,Germany,France
"In {}, the language spoken is",Canton of Fribourg,League of Nations,German,French
{} speaks the language,Giacomo Balla,Jacob van Ruisdael,Italian,Dutch
"{}, that originated in",Sarke,The Orb,Oslo,London
{} follows the religion of,Yazid I,Franz Skutsch,Islam,Judaism
{}'s occupation is,Eduardo De Filippo,Charles Aznavour,poet,actor
{} took up work in,Otto Hauser,Julian Brazier,Berlin,London
{} succumbed at,Gregory XVI,Michael Haberlandt,Rome,Vienna
{} is a product of,Honda Concerto,Triumph TR2,Honda,Triumph
The official religion of {} is,Bodhidharma,Abd al-Malik ibn Marwan,Buddhism,Islam
The official religion of {} is,Tang Empire,Victor Ehrenberg,Buddhism,Judaism
"{}, performing on the",Glen Ballard,Aviv Geffen,guitar,trumpet
{} has a citizenship from,Erik Pauelsen,"Marc Forster, who",Denmark,Germany
{} is produced by,Dodge Polara,BMW M3,Dodge,BMW
"{}, who plays",Helen Sung,Catherynne M. Valente,jazz,fantasy
The original language of {} is,The Easy Life,The Last Stand,Italian,English
{} holds the position of,Joseph Fred Naumann,"Clement XIII, who",bishop,pope
{} originated from,Maria Altmann,Ian Keith,Vienna,Boston
{} is located in,Stockholm Pride,Lotto metro station,Stockholm,Milan
"{}, whose headquarters are in",Ministry of Foreign Affairs,Royal Entomological Society,Moscow,London
{} died at,Jaidev,Moritz Fürstenau,Mumbai,Dresden
The official language of {} is,Kokkola,European Union,Finnish,English
{} was a product of,Symbian,Dragon View,Nokia,Atari
{} is native to,John McAllion,Derrick Hoh,Glasgow,Singapore
"{}, produced by",Fiat 126,AirTag,Fiat,Apple
{} specializes in,suicide attack,Konstantinos Vousakis,terrorism,physiology
The language of {} was,Re!,Help! I'm a Fish,Greek,Italian
{} is affiliated with the religion,Malik al-Ashtar,Leo Tolstoy,Islam,Christianity
{} lost their life at,Alexander Ralston,Ken Adam,Indianapolis,London
The language used by {} is,Edward Yang,Juan Carlos Onetti,Chinese,Spanish
"{}, produced by",iPhone 5,Porsche 996,Apple,Porsche
{} was a product of,Windows 98,IBM History Flow tool,Microsoft,IBM
{} was employed in,Louise Schroeder,Friedhelm Schönfeld,Berlin,Dresden
{} can be found in,Old Trinity Church,Missouri Route 72,Pennsylvania,Missouri
{} is owned by,Azerbaijan Tower,OpenSocial,Azerbaijan,Yahoo
"In {}, an official language is",La Gomera,Saint Pierre and Miquelon,Spanish,French
The headquarters of {} is in,LG Chem,Renault–Nissan–Mitsubishi Alliance,Seoul,Amsterdam
{} was written in,Ilta-Sanomat,LibreOffice,Finnish,Spanish
{}'s domain of activity is,Karl Polanyi,Frederica de Laguna,sociology,anthropology
"In {}, an official language is",Exarchate of Ravenna,Horw,Latin,German
{} is follower of,Ibn Shihab al-Zuhri,Ludwig Philippson,Islam,Judaism
{}'s profession is an,Emmanuelle Devos,Mario Soldati,actor,journalist
"{}, who is employed by",James Naughtie,Max Paul Friedman,BBC,NPR
{}'s profession is a,"John Ashburnham, 1st Baron Ashburnham",Raphael,politician,architect
{} plays in the position of,Lalrindika Ralte,Michael Wilhoite,midfielder,linebacker
{} originated from,Karim Lala,William Hogarth,Afghanistan,London
"{}, in","Barnstable (village), Massachusetts",Indiana State Road 148,Massachusetts,Indiana
The twin city of {} is,Coventry,Bogotá,Dresden,London
{} is follower of,Abdurrahman Wahid,Charles Aznavour,Islam,Christianity
"{}, who has a citizenship from",Ferdinand Meldahl,Louis XI of France,Denmark,France
"{}, by",Orkut,Market–Frankford Line,Google,Philadelphia
"{}, whose headquarters are in",Redpath Sugar,Russian Railways,Montreal,Moscow
{} belongs to the continent of,Bailey Peninsula (Antarctica),Soviet Union,Antarctica,Europe
"{}, who holds a citizenship from",Yahya Petra of Kelantan,Marguerite Yourcenar,Malaysia,Belgium
"{}, developed by",Chevrolet El Camino,Sony NEX-7,Chevrolet,Sony
{} formed in,Union Films,"The New Power Generation, that was",Jakarta,Minneapolis
"{}, who is employed by",Gene Amdahl,Timothy Brinton,IBM,BBC
{} debuted on,Valemont,The Agency,MTV,CBS
"{}, who holds a citizenship from",Kenta Fukasaku,André Godard,Japan,Iran
{} debuted on,Men into Space,Medium,CBS,NBC
{} belongs to the continent of,North Brabant,Peter I Island,Europe,Antarctica
{} was formed in,Queenadreena,"Oyme, that",London,Moscow
{}'s life ended in,Mendi Rodan,Emlyn Hughes,Jerusalem,Sheffield
{} belongs to the continent of,Mount Karisimbi,South Orkney Islands,Africa,Antarctica
{} writes in,Jean Debucourt,Roger Taylor,French,Spanish
The genre played by {} is,Sal Mosca,Robert Fuchs,jazz,opera
{} is called after,FC Bayern Munich,Kyiv Chamber Choir,Munich,Kiev
{} spoke the language,Ivan Ivanov-Vano,Georges Duhamel,Russian,French
"{}, a citizen of",Ike Ekweremadu,Rodney Brooks,Nigeria,Australia
The original language of {} was,Tolomeo,Barbarella,Italian,English
{} passed away at,Isidor Philipp,Rodolphe Töpffer,Paris,Geneva
{} premieres on,This Old House,The Little Mermaid,PBS,CBS
{} was created in,Poeten og Lillemor og Lotte,Nayak,Denmark,India
The law in {} declares the language,Posio,Singapore,Finnish,English
The language of {} is,The Red Sea Sharks,The Cabin in the Woods,French,English
{} is called after,Turkish Angora,13128 Aleppo,Ankara,Aleppo
{} was employed in,"John Hamilton-Gordon, 1st Marquess of Aberdeen and Temair",Sven-Erik Österberg,London,Stockholm
{} is produced by,Douglas DC-5,Porsche 944,Douglas,Porsche
"In {}, an official language is",Oulu,Ireland,Finnish,English
{} plays as,Gianluigi Lentini,Brendon Ayanbadejo,midfielder,linebacker
{} was called after,Linate Airport,Florence,Milan,Florence
{} is in,Harold Byrd Mountains,Dents du Midi,Antarctica,Europe
{} performs on the,Terry Trotter,John Lennon,piano,guitar
What is the twin city of {}? It is,Rotterdam,Damascus?,Istanbul,Cairo
"In {}, an official language is",Kashubia,India,Polish,English
{} originated in,Alestorm,Eat'n Park,Perth,Pittsburgh
"{}, a citizen of",Francesco Calogero,Thomas Fincke,Italy,Denmark
{} is affiliated with the,Jessica Jones,Federação Moçambicana de Futebol,Avengers,FIFA
{} premieres on,Underdog,Real World,NBC,MTV
{} was employed in,Carl Gustav Carus,Clive Betts,Dresden,London
{} premieres on,How I Met Your Mother,The Voice,CBS,NBC
{} is a twin city of,Shanghai,City of Brussels,London,Atlanta
{}'s life ended in,Enrico Barone,Roddy Piper,Rome,Hollywood
{} speaks,David Burliuk,Carles Puyol,Russian,Spanish
{} is in,Annamalai University,Robert Island,Asia,Antarctica
{} can be found in,Anahuac National Wildlife Refuge,Interstate 264,Texas,Virginia
{} is produced by,Enzo Ferrari,Virtual Boy,Ferrari,Nintendo
{} is in,Taiwan Pride,Manchester Blackley,Taiwan,Manchester
{} is a citizen of,Gorm the Old,"Rajneesh, who",Denmark,India
"{}, created by",Nintendo DS Lite,Nissan NPT-90,Nintendo,Nissan
The location of {} is,Battle of France,Seattle Tower,Netherlands,Seattle
{} is developed by,Nokia N85,Nintendo DS,Nokia,Nintendo
"{}, in",Illinois Route 394,Hamilton South,Illinois,Scotland
The twin city of {} is,Stockholm,Pekanbaru,Kiev,Atlanta
{} took up work in,John D. Rockefeller,János Lázár,Cleveland,Budapest
The domain of activity of {} is,Galileo Galilei,John Frederick William Herschel,philosophy,chemistry
{} is to debut on,Saturday Night Live,"Scooby-Doo, Where Are You!",NBC,CBS
{} is produced by,BMW IIIa,Suzuki Carry,BMW,Suzuki
{} worked in,Juho Kusti Paasikivi,Vincent van Gogh,Helsinki,Paris
{} is affiliated with the religion,Judaizers,Rumi,Christianity,Islam
{} is headquartered in,Crystal Palace Baltimore,B'Tselem,Baltimore,Jerusalem
The original language of {} was,Oru Kal Oru Kannadi,London River,Tamil,French
{} works as,Johann von Rist,Johannes Hevelius,poet,astronomer
{} speaks,Lon Chaney,Nat Sakdatorn,English,Thai
"{}, produced by",Chevrolet Equinox,Triumph Acclaim,Chevrolet,Triumph
{} is located in the country of,Queen Charlotte Mountains,Turks,Canada,Greece
{} lost their life at,Marie Tussaud,Johann Martin Lappenberg,London,Hamburg
{} plays in the position of,Casey Matthews,Chris Weinke,linebacker,quarterback
{} performs on the,Roy Paci,Prince,trumpet,guitar
"{}, which is called after",Montrealer,Midway International Airport,Montreal,Chicago
"{}, which is located in",Canada Live,Edirne,Canada,Turkey
{} is within,Buckeystown,FirstOntario Centre,Maryland,Ontario
{} was created by,Windows Embedded Compact,Picasa,Microsoft,Google
{} was released on,Rock the Cradle,Mr. Terrific,MTV,CBS
{} plays as,Trey DePriest,Edu Marangon,linebacker,midfielder
{} plays,Harlem Hamfats,Anything but Love,jazz,sitcom
"{}, in",Knockmealdown Mountains,Circassians,Ireland,Libya
"{}, a citizen of",Orestis Laskos,Paulo Freire,Greece,Brazil
{} plays the instrument,Vitaly Margulis,Flavor Flav,piano,singing
{} originated from,Yona Friedman,George Brown,Budapest,Edinburgh
What is the twin city of {}? It is,Tirana,Mexico City?,Athens,Seoul
"{}, the",Josephine Wiggs,Bernard Vitet,guitar,trumpet
{} belongs to the continent of,Afghanistan,Alexander Island,Asia,Antarctica
{} plays as,Jiloan Hamad,Clay Matthews Jr.,midfielder,linebacker
{} is within,North Hennepin Community College,Magnetic Island,Minnesota,Queensland
{}'s life ended in,George Dance the Younger,Mohammad-Ali Rajai,London,Tehran
{} is affiliated with the religion,Munzir ibn Sawa Al Tamimi,Patrul Orgyen Jigme Chokyi Wangpo,Islam,Buddhism
{} is headquartered in,Pagan Federation,Eastern Daily Press,London,Norwich
"{}, who plays the position",Graham Dorrans,Anton Kehle,midfielder,goaltender
{} originated in,Ovomaltine,Les Mystères de Paris,Switzerland,Italy
The original language of {} is,An Englishman Abroad,Now You See Me,English,French
The headquarters of {} is in,Artnet,Chrono Therapeutics (United States),Berlin,Hayward
{} is within,Carnegie Vanguard High School,Cascade–Siskiyou National Monument,Texas,California
{} is written in,Mas Canciones,Agost,Spanish,Catalan
"{}, who plays the position",Jonas Mouton,Paul Scholes,linebacker,midfielder
"{}, formulated in",INXS,Jana Aranya,Australia,India
{} is a member of,Costa Rican Football Federation,Phil Mogg,FIFA,UFO
{} is located in the country of,Calw,Lidingö,Germany,Sweden
{} is created by,Renault 4,Sony Alpha 850,Renault,Sony
{} professionally plays the sport,Elton Brand,Yogi Berra,basketball,baseball
{} specializes in,Anita Borg,John Alderman,mathematics,film
The original language of {} is,The Broken Ear,Dumbo,French,English
{} was developed by,Internet Explorer 5,Ayrton Senna's Super Monaco GP II,Microsoft,Sega
"{}, speaker of",Maurice Renard,Neil Young,French,English
"{}, that originated in",Cutie Honey,LAB,Japan,Finland
{} is created by,Nokia E71,Porsche 930,Nokia,Porsche
The official religion of {} is,Enchin,Yasser Arafat,Buddhism,Islam
{} plays the instrument,Johan De Farfalla,Ingrid Haebler,guitar,piano
{} worked in,Pierre Laval,Bruno Kreisky,Paris,Vienna
{} is located in the country of,Gazzola,Voinjama Airport,Italy,Liberia
The law in {} declares the language,European Union,Vatican City,Swedish,Italian
{} debuted on,The Lead with Jake Tapper,Conspiracy,CNN,HBO
{} professionally plays the sport,Terrell Owens,Frank Lampard,football,soccer
{}'s life ended in,Emil Hass Christensen,Edwar al-Kharrat,Denmark,Cairo
"{}, that was started in",Concrete Sox,Sabhankra,Nottingham,Istanbul
{} is in,Panteion University,Hatay Subregion,Athens,Turkey
"{}, speaker of",Henri Decoin,Johannes Lingelbach,French,Dutch
{} was named after,Platonic realism,"Helsingforser Straße, which",Plato,Helsinki
{} expired at,James Nares,Shripad Amrit Dange,London,Mumbai
{} used to work in,Adolphe Thiers,Nathan Appleton,Paris,Boston
